ssdl:pid,ssdl:scoringSummary,ssdl:totalScoring,ssdl:dimensions
1873-Manner-MTS,"V (4), Coro maschile, keyb","T (2)
B (2)
Coro maschile T (2)
Coro maschile B (2)
keyb",16.5 x 24.5 cm
1872-Puredi-MTS,"V (6), Coro di fancuilli, Coro, keyb","S (2)
A (2)
T
B
Coro di fanciulli S
Coro 1: S
Coro 2: S
Coro di fanciulli A
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",13.5 x 17 cm
1871-Truesi-MTS,"V (4), Coro, (keyb)","Treble
A
T
B
Coro Treble
Coro A
Coro T
Coro B
(keyb)",16.5 x 24.5 cm
1871-Crowno-MTS,"V (1-2), Coro, keyb","S 
(A)
Coro S
Coro A
Coro T
Coro B
keyb",12.5 x 16.4 cm
1871-Charmc-MTS,"V (3-7), Coro di fanciulli, Coro, keyb","S (3)
(A)
(T)
(B)
Coro di fanciulli S
Coro S
Coro di fanciulli A
Coro A
Coro T
Coro B
keyb",12.5 x 16 cm
1870-WestVi-MTS,"S, B, Coro","S
B
Coro S
Coro A
Coro T
Coro B",14.5 x 11 cm
1870-Sacred-MTS,"Coro, (org)","Coro Treble
Coro Counter
Coro T
Coro B
(org)",15.5 x 23 cm
1869-Christ-MTS,Nil,Nil,18.5 x 12 cm
1867-Songso-MTS,"V (2-4), Coro di fanciulli, Coro, keyb","S
A
(T)
(B)
Coro di fanciulli 1: S
Coro 1: S
Coro di fanciulli 2: S
Coro 2: S
Coro di fanciulli 1: A
Coro 1: A
Coro di fanciulli 2: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",12.5 x 16 cm
1867-Jugend-MTS,"V (2), Coro di fanciulli, Coro, keyb","S
A
Coro di fanciulli 1: S
Coro 1: S
Coro di fanciulli 2: S
Coro 2: S
Coro di fanciulli 1: A
Coro 1: A
Coro di fanciullli 2: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",20 x 13.5 cm
1867-Chants-MTS,"Treble, Coro, org","Treble
Coro Treble
Coro A
Coro T
Coro B
org",17 x 13.5 cm
1864-Devoti-MTS,"S, A, Coro","S
A
Coro S
Coro A
Coro T
Coro B",16.5 x 13 cm
1860-Church-MTS,Coro,"Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B",20 x 13.5 cm
1859-Songsf-MTS,"Coro di fanciulli, Coro, keyb","Coro di fanciulli S
Coro S 
Coro di fanciulli A
Coro A
Coro T
Coro B
keyb",13.5 x 19 cm
1854-Church-MTS,Nil,Nil,20.5 x 12.5 cm
1853-Timbre-MTS,"V (4), Coro, b","Treble (2)
T
B
Coro Treble (2)
Coro A
Coro T
Coro B
b",16 x 24.5 cm
1853-Harpof-MTS,"V (5-6), Coro, keyb","S (2)
A 
T (1-2)
B
Coro S
Coro A
Coro T
Coro B
keyb",16 x 25 cm
1852-Romber-MTS,"V (2-4), Coro, org, b.fig","S
(A)
T
(B)
Coro 1: S
(Coro 2: S)
Coro 1: A
(Coro 2: A)
Coro T
Coro 1: B
(Coro 2: B)
org
b.fig",16 x 25 cm
1850-Golden-MTS,"V (5), Coro, (org), (pf)","Treble
A
T (2) 
B
Coro 1: S
(Coro 2: S)
Coro 1: A
(Coro 2: A)
Coro 1: T
(Coro 2: T)
Coro 1: B
(Coro 2: B)
(org)
(pf)",16.5 x 25 cm
1843-Manual-MTS,"V (4), Coro","Treble (2) 
T
B
Coro V (2)",16.5 x 10.5 cm
1833-Select-UTL,Nil,Nil,13 x 8 cm
1846-Cherok-UTL,Coro,"Coro femminile (2)
Coro maschile (2)",16.5 x 24.5 cm
1860-Maskok-UTL,Nil,Nil,12.5 x 8 cm
1866-Cherok-UTL,Coro,"Coro S
Coro A
Coro T 
Coro B",13 x 8.5 cm
1875-Gospel-UTL,"V (3), Coro, keyb","S (2)
A 
Coro S
Coro A
Coro T 
Coro B
keyb",20.5 x 13.5 cm
1880-Nakcok-UTL,Nil,Nil,14 x 9 cm
188x-Mvskok-UTL,Nil,Nil,15 x 10 cm
1887-Gospel-UTL,"V (4), Coro, keyb","S
A
T
B
Coro S
Coro A
Coro T
Coro B
keyb",20.5 x 13.5 cm
1892-Nusdvu-UTL,Nil,Nil,23 x 15 cm
1906-Tsalag-UTL,Nil,Nil,14 x 11 cm
1910-Baptis-UTL,Nil,Nil,13 x 19.5 cm
1917-Mvskok-UTL,Nil,Nil,15 x 10.5 cm
1920-Hallel-UTL,"V (2), Coro, keyb","A
T
Coro S
Coro A
Coro T
Coro B
keyb",19.5 x 13.5 cm
1926-Nakcok-UTL,Nil,Nil,12 x 8.5 cm
1847-Sacred-SBT,"V (6), Coro, pf (org), b.fig","S 
Treble (2)
A
T
B
Coro 1: Treble
(Coro 2: Treble)
Coro 1: A
(Coro 2: A)
Coro 1: T 
(Coro 2: T)
Coro 1: B
(Coro 2: B)
pf (org)
b.fig",15 x 24 cm
1851-Songso-SBT,Nil,Nil,14.5 x 10 cm
1853-Hymnsf-SBT,Nil,Nil,13.5 x 8.5 cm
1854-Sweets-SBT,Nil,Nil,13 x 9 cm
1856-Simple-SBT,Nil,Nil,15 x 10 cm
1857-Annive-SBT,"(Coro di fanciulli), Coro, b","(Coro di fanciulli)
Coro S
Coro A
Coro T
Coro B
b",11.5 x 14.5 cm
1859-HymnsF-SBT,Nil,Nil,13 x 8.5 cm
1860-Hymnss-SBT,Nil,Nil,11 x 7.5 cm
1862-Sunday-SBT,Nil,Nil,13 x 9.5 cm
1865-Sunday-SBT,Nil,Nil,11 x 7 cm
1867-Gladti-SBT,"V (4), Coro, org","S
A
T
B
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
org",12.5 x 15.5 cm
1870-Vocali-SBT,Coro,"Coro Treble
Coro A
Coro T
Coro B",16.5 x 25 cm
1871-Linton-SBT,Coro,"Coro Treble (S)
Coro A
Coro T
Coro B",12.5 x 16 cm
1871-NewChr-SBT,Coro,Coro V (4),19 x 12.5 cm
1873-NewBa2-SBT,"V (4), Coro","S
A
T
B
Coro S
Coro A
Coro T
Coro B",
1878-Newgos-SBT,"V (2), Coro, keyb","S (2)
Coro S
Coro A
Coro T
Coro B
keyb",21 x 14 cm
1881-Nearer-SBT,pf,pf,
1897-Select-SBT,"V (2), Coro, keyb","S
A
Coro S
Coro A
Coro T
Coro B
keyb",19.5 x 13 cm
186x-Little-SBT,Nil,Nil,10 x 6.5 cm
1865-Newcel-SBT,Nil,Nil,11 x 7.5 cm
190x-Callne-SBT,"V (6), Coro, keyb","S
A
T (2)
B (2)
Coro S
Coro A
Coro T (2)
Coro B (2)
keyb",19.5 x 13.5 cm
1894-Hymnss-SBT,Nil,Nil,13 x 10 cm
1919-Whenmi-SBT,Coro,"Coro S
Coro A
Coro T
Coro B",20 x 12.5 cm
1884-Kleine-SBT,,,15.5 x 11.5 cm
1887-Hymnsn-SBT,"V (4), Coro, org","S
A
T
B
Coro S
Coro A (1-2)
Coro T (1-2)
Coro Bariton
Coro B 
org",20 x 14 cm
1888-Favori-SBT,"V (3), Coro di fanciulli, Coro, keyb","S
A
T
Coro di fanciulli S
Coro 1: S
Coro 2: S
(Coro di fanciulli A)
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",13.5 x 17.5 cm
1889-Stouth-SBT,Nil,Nil,13 x 9.5 cm
1891-Choice-SBT,Nil,Nil,13 x 9 cm
1891-Hymnsn-SBT,"V ( 4), Coro, org","S
A
T
B
Coro S
Coro A
Coro T
Coro B
org",20.5 x 14 cm
1892-Manly1-SBT,Nil,Nil,
1892-Manly2-SBT,"V (2), Coro, b","S
A
Coro S
Coro A
Coro T
Coro B
b",
1895-Dawnin-SBT,"V (X), Coro, keyb","S (X)
A
T (2)
B
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",20.5 x 14 cm
1895-Spirit-SBT,"V (7), Coro, tr, keyb","S (2)
A 
T (2)
B (2)
Coro di fanciulli S
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
tr
keyb",21.5 x 15 cm
1899-Salvat-SBT,"V (3), Coro, keyb","S
A
T
Coro S
Coro A
Coro T
Coro B 
keyb",19 x 13 cm
1900-Church-SBT,"V (4), Coro, keyb","S
A
T
B
Coro S
Coro A
Coro T
Coro B
keyb",21.5 x 15 cm
1900-Sacre1-SBT,"V (2), Coro femminile, keyb","S
A
Coro femminile S (2)
Coro femminile A (2)
keyb",
1901-Lastin-SBT,"V (3), Coro, keyb","S
A
T
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",20.5 x 14.5 cm
1901-Sunday-SBT,"V (4-5), Coro, org","S
A (2)
(T)
B 
Coro S (2)
Coro A
Coro T
Coro B
org",21.5 x 15.5 cm
1902-Sacred-SBT,"V (4), Coro, keyb","S
A
T
B
Coro 1: S 
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",20 x 14.5 cm
1904-Praise-SBT,"V (6), Coro di fanciulli, Coro, keyb","S
A
T (2)
B (2)
Coro di fanciulli S
Coro 1: S
Coro 2: S
(Coro di fanciulli A)
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",20 x 13.5 cm
1905-Newson-SBT,,,21.5 x 15 cm
1908-Gemsof-SBT,"S, Coro, tr, pf","S
(Coro di fanciulli S (2))
Coro S
Coro A
Coro T
Coro B
tr
pf",20 x 14 cm
1908-Progra-SBT,"V (2), Coro","A
T
Coro S
Coro A
Coro T
Coro B",22.5 x 15 cm
1909-Melodi-SBT,"V (2), Coro, keyb","S
A
Coro S
Coro A
Coro T
Coro B
keyb",20.5 x 13.5 cm
1909-Newglo-SBT,,,19.5 x 14 cm
1909-Primit-SBT,"Coro, (keyb)","Coro S
Coro A
Coro T
Coro B
(keyb)",20.5 x 15 cm
1909-Singet-SBT,,,20 x 14 cm
1909-Starof-SBT,"V (3), Coro, keyb","S
A
T
Coro S (1-2)
Coro A
Coro T (2)
Coro B (2)
keyb",19.5 x 14 cm
1912-Bestre-SBT,"V (2), Coro, keyb","S
A
Coro S
Coro A
Coro T
Coro B
keyb",19.5 x 13 cm
1913-Emanue-SBT,"V (3-4), Coro, keyb","S
(A)
T
B
Coro S
Coro A
Coro T (2)
Coro B (2)
keyb",
1913-Songsa-SBT,"V (3-4), Coro, keyb","S
A
T
(B)
Coro S
Coro A
Coro T
Coro B
keyb",20.5 x 14 cm
1914-Songso-SBT,"V (4), Coro, keyb","S
A
T
B
Coro S
Coro A
Coro T
Coro B
keyb",20 x 14 cm
1914-Studen-SBT,"Coro, keyb","Coro S
Coro A
Coro T
Coro B
keyb",18.5 x 13 cm
1915-Kingof-SBT,"V (5-6), Coro, (orch), pf","S
(A)
T (2)
B (2)
Coro di fanciulli S
Coro 1: S
Coro 2: S
Coro di fanciulli A
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
(vl (2))
(vlc)
(cb)
(fl)
(cl (2))
(kornetto (2))
(trb)
(mandoline (2))
pf",20 x 14.5 cm
1915-Redemp-SBT,"V (4), Coro di fanciulli, Coro, keyb","S
A
T
B
Coro di fanciulli S
Coro S
Coro di fanciulli A
Coro A
Coro T (2)
Coro B (2)
keyb",19.5 x 13.5 cm
1915-Songha-SBT,"V (3), Coro di fanciulli, Coro, keyb","S
A
T
Coro di fanciulli S
Coro S
Coro di fanciulli A
Coro A
Coro T (2)
Coro B (2)
keyb",19.5 x 13.5 cm
1918-Northf-SBT,"V (3), Coro, keyb","S (2)
A
Coro S
Coro A
Coro T 
Coro B
keyb",20 x 14 cm
1919-Hesju1-SBT,"S (T), pf","S (T)
pf",30.5 x 23 cm
1919-Hesju2-SBT,"A (B), pf","A (B)
pf",30.5 x 23 cm
1920-Gospel-SBT,"V (6), Coro, keyb","S
A
T (2)
B (2)
Coro S
Coro A
Coro T
Coro B
keyb",19.5 x 14 cm
1923-Silver-SBT,"V (6), Coro, keyb","S
A
T (2)
B (2)
Coro S
Coro A
Coro T (2)
Coro B (2)
keyb",19.5 x 13.5 cm
1924-Ourjoy-SBT,"V (4-5), Coro, pf","(S)
T (2)
B (2)
Coro S
Coro A
Coro T (2)
Coro B (2)
pf",19 x 13.5 cm
1925-Hymnso-SBT,,,20.5 x 15 cm
1925-KingJe-SBT,"Coro, (pf)","Coro S
Coro A
Coro T
Coro B
(pf)",26 x 17.5 cm
1925-Singhi-SBT,"V (2), Coro, keyb","S
A
Coro S
Coro A
Coro T
Coro B
keyb",19.5 x 13 cm
1931-Evange-SBT,Coro,"Coro S
Coro A
Coro T
Coro B",21.5 x 14.5 cm
1931-Glorio-SBT,,,21.5 x 15.5 cm
1857-Notesa-SBT,Nil,Nil,15 x 10 cm
1888-Temple-SBT,"V (2), Coro, keyb","S
A
Coro S
Coro A
Coro T
Coro B
keyb",20.5 x 13.5 cm
1900-Newson-SBT,,,21 x 14 cm
1900-Sacre2-SBT,"V (6), Coro, keyb","S
A
T (2)
B (2)
Coro S
Coro A
Coro T
Coro B
keyb",
1905-Psalli-SBT,V,V,17.5 x 12 cm
19xx-Robins-SBT,"V (6), Coro di fanciulli, Coro, keyb","S
A
T (2)
B (2)
Coro di fanciulli S (2)
Coro S
Coro di fanciulli A
Coro A
Coro T
Coro B
keyb",14 x 20.5 cm
1903-Hymnso-SBT,"V (3), Coro, keyb","S
A
T
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",19.5 x 14 cm
1908-Reviva-SBT,"V (3), Coro, keyb","S
A
T
Coro S
Coro A
Coro T
Coro B
keyb",20 x 14 cm
1911-Harpof-SBT,"V (6), Coro di fanciulli, Coro, keyb","S
A
T (2)
B (2)
Coro di fanciulli S
Coro S
Coro di fanciulli A
Coro A
Coro T
Coro B
keyb",19 x 13 cm
1911-Newson-SBT,"V (4), Coro, keyb","S
A
T
B
Coro S
Coro A
Coro T
Coro B
keyb",20 x 14 cm
1914-Glorio-SBT,"V (5), Coro, keyb","S
A
T (2)
B
Coro S
Coro A
Coro T
Coro B
keyb",19.5 x 13.5 cm
1916-Gospel-SBT,"V (3-4), Coro di fanciulli, Coro, keyb","S
A
(T)
B
Coro di fanciulli S
Coro S
Coro di fanciulli A
Coro A
Coro T (2)
Coro B (2)
keyb",19.5 x 13.5 cm
1919-Hymnso-SBT,"V (3-4), Coro, (bugle), keyb","S
A
T
(B)
Coro S
Coro A
Coro T
Coro B
(bugle)
keyb",19 x 13.5 cm
1919-Majest-SBT,"V (3), Coro, keyb","S
A
T
Coro S
Coro A
Coro T
Coro B
keyb",19.5 x 13.5 cm
1929-Souli1-SBT,"V (4), Coro, keyb","S
A
T
B
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",19.5 x 13.5 cm
1929-Souli2-SBT,"V (4), Coro, keyb","S
A
T
B
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",19.5 x 13.5 cm
1924-Gospel-SBT,"V (4), Coro, keyb","S
A
T
B
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T (2)
Coro 2: T
Coro 1: B (2)
Coro 2: B
keyb",19 x 13.5 cm
1924-Gracea-SBT,"V (2-3), Coro, keyb","(S)
A
T
Coro S
Coro A
Coro T
Coro B",20 x 14 cm
1924-Songpr-SBT,"V (3), Coro di fanciulli, Coro, keyb","S
A
T
Coro di fanciulli S
Coro S
Coro di fanciulli A
Coro A
Coro T (2)
Coro B (2)
keyb",19.5 x 13.5 cm
1925-Christ-SBT,"V (2-3), Coro, keyb","S
(A)
T
Coro S
Coro A
Coro T (2)
Coro B (2)
keyb",20 x 13.5 cm
1910-Reviva-SBT,"V (3-4), Coro, keyb","S
A
(T)
B 
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",19.5 x 13.5 cm
1873-Amaran-UKY,"V (4), Coro di fanciulli, Coro, keyb","S
A
T
B
Coro di fanciulli S
Coro 1: S
Coro 2: S
Coro di fanciulli A
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",13.5 x 17 cm
1900-Beauti-UKY,"V (6), Coro di fanciulli, Coro, keyb","S (2)
A
(Contra-A)
T
(Bariton)
B
Coro di fanciulli S
Coro 1: S
Coro 2: S
Coro di fanciulli: A
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",21.5 x 14.5 cm
1914-Carmin-UKY,"V (2), Coro, (orch), pf","S
A
Coro di fanciulli S
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
(vl (2))
(vlc)
(cb)
(fl)
(cl (2))
(kornetto (2))
(tr (3))
(trb)
(mandoline (2))
(campana)
pf",22 x 15 cm
1871-Songki-UKY,,,16.5 x 25 cm
1874-Hallow-UKY,"V (4), Coro, keyb","S
A
T
B
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro T
Coro 1: B
Coro 2: B
keyb",14.5 x 11.5 cm
1878-Hymna2-UKY,"V (4-5), Coro, org","S
A
(Contra-A)
T
B
Coro S
Coro A
Coro T
Coro B
org",18 x 13 cm
1879-Hourso-UKY,"V (4), Coro","S
A
T
B
Coro Treble
Coro Contra-A
Coro T
Coro B",16.5 x 25 cm
1890-Finest-UKY,"V (4), Coro, keyb","S
A
T
B
Coro S
Coro A
Coro T
Coro B
keyb",20.5 x 14 cm
1843-Dupuys-UKY,Nil,Nil,12.5 x 7.8 cm
1850-Hymnsf-UKY,Nil,Nil,16.5 x 10.5 cm
1851-Christ-UKY,"V, Coro","V
Coro Air
Coro Double Air
Coro Counter
Coro Bass",15.5 x 11.5 cm
1858-Christ-UKY,Nil,Nil,12 x 8.5 cm
1866-Christ-UKY,Nil,Nil,12 x 7.5 cm
1872-Collec-UKY,Nil,Nil,13.5 x 8.5 cm
1872-Gloryc-UKY,"V (9), Coro, keyb","S
Mezzo-S
A
Contra-A
T (2)
Bariton 
B (2)
Coro S
Coro A 
Coro T (2)
Coro B (2)
keyb",16.5 x 24 cm
1878-Hymna1-UKY,Nil,Nil,17 x 11 cm
1895-Voice2-UKY,"V (4), Coro di fanciulli, Coro, keyb","S
A
T
B
Coro di fanciulli S
Coro S
(Coro di fanciulli A)
Coro A
Coro T
Coro B
keyb",20.5 x 14 cm
1925-Bookof-UKY,"S (T), pf","S (T)
pf",26 x 19.5 cm
1853-Shawml-UKY,"V (14), Coro, org, b.fig","S (3)
Mezzo-S
A 
T (4-5)
Bariton
B (3-4)
Coro S (Treble)
(Coro 2: S)
Coro A 
(Coro 2: A)
Coro T (2)
(Coro 2: T)
Coro B (2)
(Coro 2: B)
org
b.fig",17 x 24.5 cm
1870-NewChr-UKY,"V (4), Coro, pf (org)","S
A
T
B
Coro S
Coro A
Coro T
Coro B
pf (org)",16.5 x 25 cm
1871-Sparkl-UKY,"V (2), Coro, keyb","S
A
Coro S
Coro A
Coro T
Coro B
keyb",19.5 x 13 cm
1872-Hymnso-UKY,,,21 x 14 cm
1886-Carolb-UKY,"V (4), Coro di fanciulli, Coro, keyb","S
A
T
B
Coro di fanciulli S
Coro S
Coro di fanciulli A
Coro A
Coro T
Coro B
keyb",20 x 15.5 cm
1894-Tearsa-UKY,"V (4), Coro, keyb","S
A
T
B
Coro S
Coro A
Coro T
Coro B
keyb",20.5 x 14 cm
1897-Tearsa-UKY,"V (3), Coro, keyb","S
A
T
Coro S
Coro A
Coro T
Coro B
keyb",20.5 x 14.5 cm
1902-Singin-UKY,"V (6), Coro di fanciulli, Coro, keyb","S (2)
A (2)
T
B
Coro di fanciulli S
Coro S
Coro A
Coro T
Coro B
keyb",19 x 14.5 cm
1906-Creamo-UKY,"V (3-4), Coro, keyb","S
A
T
(B)
Coro S
Coro A
Coro T
Coro B
keyb",20 x 13.5 cm
